Code,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% Votes,Round,Last Updated Time,Last Updated Date
S221,GUMMIDIPOONDI - 1,T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,61922,570,62492,26.88,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,65894,481,66375,28.55,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,M.JAGADEESAN,Bahujan Samaj Party,695,2,697,0.3,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,"R.SRIDAR. B.L.,",Naam Tamilar Katchi,4707,49,4756,2.05,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,593,6,599,0.26,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,335,1,336,0.14,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,93820,500,94320,40.56,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,M.KUMARAN,Independent,260,0,260,0.11,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,GOPAL.K,Independent,174,3,177,0.08,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,T.GOVINDAN,Independent,205,1,206,0.09,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,A.H. SIVA GANESH,Independent,104,0,104,0.04,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,D.SUDHAKAR,Independent,319,2,321,0.14,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,V.SUDHAKAR,Independent,217,0,217,0.09,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,D.DINESH,Independent,222,0,222,0.1,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,G.RANJITH B.SC.L.L.B,Independent,502,1,503,0.22,26/26,11:27 PM,04/05/2026
S221,GUMMIDIPOONDI - 1,NOTA,None of the Above,931,6,937,0.4,26/26,11:27 PM,04/05/2026
S222,PONNERI - 2,DURAI CHANDRASEKAR,Indian National Congress,54301,370,54671,24.1,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,SANTHOSHKUMAR.J,Bahujan Samaj Party,611,4,615,0.27,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,51160,308,51468,22.69,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,RAJATHI.M,Naam Tamilar Katchi,6633,43,6676,2.94,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,360,6,366,0.16,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,RAJA.S,Vanchit Bahujan Aaghadi,295,4,299,0.13,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,163,3,166,0.07,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,371,0,371,0.16,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,110051,388,110439,48.69,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,NAGAIYAN.G,Independent,227,5,232,0.1,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,BARATHIRAJA.K,Independent,155,4,159,0.07,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,RAJASEKAR.J,Independent,288,1,289,0.13,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,VENKATESAN.S,Independent,202,1,203,0.09,26/26,11:30 PM,04/05/2026
S222,PONNERI - 2,NOTA,None of the Above,859,6,865,0.38,26/26,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,G.HARI,All India Anna Dravida Munnetra Kazhagam,87893,1276,89169,37.34,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,D.KRISHNAMURTHY,Desiya Murpokku Dravida Kazhagam,53976,887,54863,22.97,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,CHANDRAN .S.S,Naam Tamilar Katchi,6516,188,6704,2.81,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,MUTHURAJ.G,Bahujan Samaj Party,469,1,470,0.2,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,82608,768,83376,34.91,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,BALAJI.A,Thakkam Katchi,272,0,272,0.11,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,130,2,132,0.06,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,KRISHNAMOORTHY.K,Independent,201,9,210,0.09,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,KRISHNAMOORTHY.D,Independent,460,7,467,0.2,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,KRISHNAMOORTHY.M,Independent,943,3,946,0.4,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,SHETTU.S,Independent,152,1,153,0.06,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,DR.A.V.NARENDRAN,Independent,197,1,198,0.08,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,JAMBU.B,Independent,623,5,628,0.26,27/27,11:30 PM,04/05/2026
S223,TIRUTTANI - 3,NOTA,None of the Above,1180,30,1210,0.51,27/27,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,66729,701,67430,29.78,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,K. SENTHILKUMAR,Naam Tamilar Katchi,5452,61,5513,2.43,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,BE VEE RAMANAH,All India Anna Dravida Munnetra Kazhagam,56086,476,56562,24.98,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,B. RAJESH KUMAR,Bahujan Samaj Party,668,6,674,0.3,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam,91683,507,92190,40.71,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,E. MANI,Republican Party of India (Athawale),644,9,653,0.29,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,E. RAJARATHINAM,Tamizhaga Vaazhvurimai Katchi,134,0,134,0.06,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,N. VENKATESAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,352,2,354,0.16,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,E.KOTHANDAN,Independent,201,2,203,0.09,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,N. NAGENDRABABU,Independent,184,0,184,0.08,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,N. BALAKRISHNAN,Independent,186,0,186,0.08,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,R. RAMANAN,Independent,118,0,118,0.05,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,G. RAJENDIRAN,Independent,223,4,227,0.1,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,S. RAJENDRAN,Independent,867,1,868,0.38,24/24,11:30 PM,04/05/2026
S224,THIRUVALLUR - 4,NOTA,None of the Above,1122,10,1132,0.5,24/24,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,KRISHNASWAMY.A,Dravida Munnetra Kazhagam,87803,766,88569,28.67,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,MEKALA.J,Naam Tamilar Katchi,11616,81,11697,3.79,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,RAJASEKARAN.K,Bahujan Samaj Party,852,8,860,0.28,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,ELUMALAI.T.A,Amma Makkal Munnettra Kazagam,43017,263,43280,14.01,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,PRAKASAM.R,Tamilaga Vettri Kazhagam,160643,666,161309,52.22,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,SIVAKUMAR.S,Independent,297,0,297,0.1,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,DHASARATHAN.R,Independent,133,0,133,0.04,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,PURUSHOTHAMAN.B,Independent,254,1,255,0.08,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,RAVIKUMAR.M,Independent,352,3,355,0.11,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,VELU.S,Independent,263,1,264,0.09,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,DR.JAYANTHI.R,Independent,299,5,304,0.1,25/25,11:30 PM,04/05/2026
S225,POONAMALLEE - 5,NOTA,None of the Above,1551,20,1571,0.51,25/25,11:30 PM,04/05/2026
S226,AVADI - 6,S. CHARLES,Bahujan Samaj Party,746,15,761,0.22,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,S.M.NASAR,Dravida Munnetra Kazhagam,103115,958,104073,30.08,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,PUNITHA SHANMUGAM,Naam Tamilar Katchi,16190,145,16335,4.72,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,RAJASIMHA MAHENDRA,Bharatiya Janata Party,39170,435,39605,11.45,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,R.Edmund Jayendren,Tamizhaga Vaazhvurimai Katchi,471,7,478,0.14,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,C.S. Karnan,Anti Corruption Dynamic Party,222,2,224,0.06,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,SENTHILKUMAR. S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,156,0,156,0.05,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,R. BAKTHAVATCHALAM,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,625,2,627,0.18,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,179472,912,180384,52.13,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,P.JAYAKUMAR,Samaniya Makkal Nala Katchi,177,0,177,0.05,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,K. ANNAMALAI,Independent,77,0,77,0.02,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,G.D. ARUNKUMAR,Independent,205,0,205,0.06,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,M. ERAJASIMMAN,Independent,105,0,105,0.03,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,R. KUMAR,Independent,305,3,308,0.09,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,S. SENTHILKUMAR,Independent,167,0,167,0.05,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,P. CHELLAPANDIAN,Independent,254,1,255,0.07,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,K. BALAKRISHNAN,Independent,141,0,141,0.04,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,R. MANIKANDAN,Independent,195,0,195,0.06,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,UNIESH RAJ. M,Independent,93,1,94,0.03,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,RAJASEKAR. R,Independent,105,0,105,0.03,27/27,11:27 PM,04/05/2026
S226,AVADI - 6,NOTA,None of the Above,1519,14,1533,0.44,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,GANAPATHY. K,Dravida Munnetra Kazhagam,79667,549,80216,27.31,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,P. BENJAMIN,All India Anna Dravida Munnetra Kazhagam,54456,249,54705,18.63,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,REVATHI L,Naam Tamilar Katchi,12977,47,13024,4.43,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,AGNI SELVARAJU. J,Naadaalum Makkal Katchi,264,2,266,0.09,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,MUTHURAMAN. S,Anna MGR Dravida Makkal Kalgam,70,1,71,0.02,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,MURALI. S,Naam Indiar Party,298,2,300,0.1,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,141423,302,141725,48.26,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,K. VENKATESAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,171,0,171,0.06,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,J. VENKATESAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,232,1,233,0.08,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,D. ANANDAN,Independent,67,0,67,0.02,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,K. GANAPATHY,Independent,96,3,99,0.03,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,V. KAMALA KANNAN,Independent,119,0,119,0.04,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,SARAVANAN KUMAR,Independent,78,0,78,0.03,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,R. SIVA,Independent,315,7,322,0.11,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,M. BALASUBRAMANIAN,Independent,67,0,67,0.02,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,S. BENJAMIN MOSES,Independent,206,1,207,0.07,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,PONMUTHU RAMESH,Independent,200,2,202,0.07,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,N.A. MANI,Independent,157,0,157,0.05,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,R. YUVARAJ,Independent,82,2,84,0.03,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,VIGNESH NANDAGOPAL,Independent,83,0,83,0.03,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,M. JAMES,Independent,34,0,34,0.01,27/27,11:27 PM,04/05/2026
S227,MADURAVOYAL - 7,NOTA,None of the Above,1448,14,1462,0.5,27/27,11:27 PM,04/05/2026
S228,AMBATTUR - 8,SILAMBARASAN,Naam Tamilar Katchi,11049,39,11088,4.26,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,DR. J.SAILAS,Bahujan Samaj Party,441,2,443,0.17,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,DR A.P. POORNIMA,Dravida Munnetra Kazhagam,74156,402,74558,28.68,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,A.KALYANASUNDARAM,Nationalist Janshakti Party,584,4,588,0.23,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,K.N. SEKAR,Pattali Makkal Katchi,35826,171,35997,13.85,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,132995,344,133339,51.29,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,V. RAMKUMAR,India Suyarajya Party,224,0,224,0.09,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,RAJKUMAR,Tamizhaga Vaazhvurimai Katchi,125,2,127,0.05,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,D. JEYAGANESH,Naam Indiar Party,67,0,67,0.03,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,M.S. ARUMUGAM,Independent,135,0,135,0.05,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,P. ARUMUGAM,Independent,77,0,77,0.03,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,G. SAMPATH,Independent,71,1,72,0.03,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,K. SEKAR,Independent,125,2,127,0.05,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,G.P. SEKAR,Independent,102,1,103,0.04,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,PALANI,Independent,99,4,103,0.04,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,R.BALAMURUGAN,Independent,493,0,493,0.19,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,DR. S.PRAVEEN,Independent,305,3,308,0.12,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,D. PUSHPA,Independent,66,2,68,0.03,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,S. MADHAVAN,Independent,179,0,179,0.07,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,D.K.MESHACK KIRUBAKARAN,Independent,102,0,102,0.04,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,VINAYAGAMOORTHY.R,Independent,82,1,83,0.03,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,S. JANARTHANAN,Independent,125,1,126,0.05,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,JOTHI.M,Independent,89,0,89,0.03,28/28,11:27 PM,04/05/2026
S228,AMBATTUR - 8,NOTA,None of the Above,1474,16,1490,0.57,28/28,11:27 PM,04/05/2026
S229,MADAVARAM - 9,E.KRITHIKA,Naam Tamilar Katchi,12563,74,12637,3.49,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,S.SUDHARSANAM,Dravida Munnetra Kazhagam,94782,695,95477,26.38,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,MADHAVARAM V.MOORTHY,All India Anna Dravida Munnetra Kazhagam,58914,376,59290,16.38,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,N.JANAKIRAMAN,Bahujan Samaj Party,530,7,537,0.15,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,R.KARTHIKEYAN,Tamizhaga Vaazhvurimai Katchi,231,1,232,0.06,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,I.RAFFIK,Naadaalum Makkal Katchi,675,1,676,0.19,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,M.L.VIJAYPRABHU,Tamilaga Vettri Kazhagam,189784,678,190462,52.61,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,S.SIVAKUMAR,Independent,198,0,198,0.05,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,SUDARSANAM,Independent,155,2,157,0.04,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,A.NAGARAJAN,Independent,173,4,177,0.05,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,R.S.BALAJI,Independent,98,1,99,0.03,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,G.PRABU,Independent,190,1,191,0.05,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,A.PONNALAGAN,Independent,128,1,129,0.04,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,C.MOORTHY,Independent,154,0,154,0.04,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,V.MURTHY,Independent,188,0,188,0.05,19/19,11:27 PM,04/05/2026
S229,MADAVARAM - 9,NOTA,None of the Above,1383,11,1394,0.39,19/19,11:27 PM,04/05/2026
S2210,THIRUVOTTIYUR - 10,KUPPAN. K,All India Anna Dravida Munnetra Kazhagam,28190,130,28320,13.68,26/26,11:30 PM,04/05/2026
S2210,THIRUVOTTIYUR - 10,SATHYA. B,Naam Tamilar Katchi,8380,33,8413,4.06,26/26,11:30 PM,04/05/2026
S2210,THIRUVOTTIYUR - 10,SUNDARARAJ. L,Communist Party of India (Marxist),56265,238,56503,27.28,26/26,11:30 PM,04/05/2026
S2210,THIRUVOTTIYUR - 10,MAHENDRA KUMAR. D,Bahujan Samaj Party,455,3,458,0.22,26/26,11:30 PM,04/05/2026
S2210,THIRUVOTTIYUR - 10,SASIREKHA. M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,271,0,271,0.13,26/26,11:30 PM,04/05/2026
S2210,THIRUVOTTIYUR - 10,SENTHIL KUMAR. N,Tamilaga Vettri Kazhagam,109788,279,110067,53.15,26/26,11:30 PM,04/05/2026
S2210,THIRUVOTTIYUR - 10,DILLI KUMAR. R,Democratic National Allegiance,198,0,198,0.1,26/26,11:30 PM,04/05/2026
S2210,THIRUVOTTIYUR - 10,VENKATARAMANAN. J,Tamizhaga Vaazhvurimai Katchi,148,1,149,0.07,26/26,11:30 PM,04/05/2026
S2210,THIRUVOTTIYUR - 10,ARAVIND. R,Independent,72,5,77,0.04,26/26,11:30 PM,04/05/2026
